geocode,regrowth_2001_2016,agr_pers,veg_pers,nreg_agr,nreg_veg,population2016,pop_g,lpw2016,lpw_g,Std_temp,precip,clay,ph,embargos_def,roads_km,silos_ton,lat,long,FNP,UF
3107000,9218.32,25410.5600,13287.1700,0.1280,0.2193,2789,-0.004307692,4665.015625,0.22634,0.500725723,1318.27875,35.07,53.64,0,0,0,-18.757144,-45.539513,45,31
3107109,16269.28,52515.6600,14049.6300,0.1177,0.3327,40412,0.007353846,5593.12875,0.153026667,0.401196128,1356.600625,41.09,53.07,0,49.22,93350,-21.023176,-45.627177,42,31
3107307,32436.87,82602.5100,191062.7000,0.1109,0.0512,49891,0.010138462,3778.356875,0.137473333,0.619919014,982.168125,38.5,54.92,1,63.513,0,-17.287239,-43.687383,47,31
3107406,17160.53,74485.3400,31691.1500,0.1010,0.2089,49650,0.013830769,3901.36875,0.154353333,0.539734503,1230.451875,37.8,52.75,0,22.835,1344,-19.684519,-45.286115,46,31
3107703,4855.53,7351.7000,9043.8400,0.1925,0.1623,5972,0.012,3189.54625,0.134,0.402341066,1327.13625,43.04,51.02,0,14.431,0,-19.717577,-43.468777,43,31
3108206,30343.31,66007.8200,84120.3700,0.1111,0.0893,6373,-0.006207692,4557.408125,0.214873333,0.48722984,1316.85,33.53,53.92,1,3.877,37532,-16.486352,-46.190389,48,31
3108255,8468.49,4618.3300,375863.1200,0.2652,0.0044,10797,0.017738462,1846.6075,0.227126667,0.592089168,917.305625,29.9,54.74,1,0,0,-14.994423,-44.897572,49,31
3108503,10996.77,7729.4500,132488.1600,0.1715,0.0119,6783,-0.002346154,3778.356875,0.137473333,0.568118239,999.274375,38.33,52.96,0,0,0,-16.937849,-43.005639,47,31
3108552,48917.66,59892.9200,146515.8700,0.1713,0.0779,15921,0.018630769,3564.655625,0.211473333,0.577614347,1216.355625,28.58,54.7,1,0,0,-16.956983,-45.902478,48,31
3108602,25084.41,33663.0500,81340.3600,0.1984,0.0929,32650,0.0052,1845.774375,0.22642,0.662951733,907.93125,30.82,55.26,2,0,0,-16.242706,-44.439121,49,31
3109204,15275.87,37256.6600,104704.7900,0.1061,0.0405,10687,0.002746154,3867.025,0.155146667,0.616176382,1000.230625,37.05,55.07,2,18.557,0,-17.88052,-44.04138,46,31
3109303,74924.83,189353.8000,253408.0500,0.0944,0.0723,24524,0.011830769,2727.47125,0.174846667,0.447715963,1277.635,37.21,54.29,1,26.252,257698,-15.453172,-46.604368,125,31
3109402,183076.74,123639.3000,445056.5100,0.3476,0.1289,28251,0.006369231,2146.60375,0.21688,0.638686151,1054.035,29.81,53.83,1,83.576,70112,-17.286053,-45.19181,49,31
3109451,16686.29,60203.4900,24787.7500,0.0757,0.1658,6901,0.003961538,4362.719375,0.21726,0.385432657,1289.52375,40.9,54.42,2,0,66370,-16.076374,-47.123718,48,31
3109600,888.21,3231.1800,2009.6800,0.1254,0.1873,3936,0.001007692,3867,0.155146667,0.549757143,1135.24625,41.13,52.18,0,0,0,-19.516979,-44.472008,46,31
3109808,712.34,15703.0300,1525.1000,0.0257,0.2139,2676,0.008823077,9346.005625,0.127953333,0.331415525,1343.55875,47.28,59.34,1,1.507,0,-18.629574,-49.510206,44,31
