geocode,lat,long,drop_4balance
2110302,-4.8264079,-44.481161,0
2110401,-3.3753238,-43.618455,0
2110609,-3.2898781,-42.412022,0
2110658,-6.8332896,-44.617328,0
2110708,-5.6382204,-44.336556,0
2110807,-7.0918589,-44.88344,0
2110906,-6.2845051,-43.077055,0
2111052,-6.4636791,-46.900671,0
2111078,-5.0401761,-43.766643,0
2111102,-6.5549792,-43.64186,0
2111250,-5.0399417,-44.568303,0
2111409,-4.377224,-44.616579,0
2111508,-3.9843927,-44.503193,0
2111573,-6.8195798,-46.707363,0
2111607,-7.0136703,-45.69093,0
2111631,-5.0896715,-45.146213,0
2111672,-5.0189565,-45.034555,0
2111748,-5.2610456,-43.984649,0
2111763,-5.4635246,-47.269348,0
2111805,-6.2278654,-46.595578,0
2111904,-6.5098587,-44.339004,0
2111953,-6.3909504,-43.492324,0
2112001,-8.3319631,-45.885641,0
2112100,-4.1530382,-43.813488,0
2112209,-5.1479562,-42.993267,0
2112233,-4.5420872,-44.675361,0
2112308,-5.610439,-44.730624,0
2112506,-2.9125136,-42.386624,0
2112605,-3.2600447,-43.2808,0
2112704,-3.7109444,-43.853846,0
2112852,-5.2611134,-48.070895,0
2200400,-5.0022518,-42.584886,0
2200459,-8.4694746,-43.993357,0
2200509,-6.4930923,-42.871982,0
2200806,-7.2191338,-44.202892,0
2201101,-10.167366,-43.952705,0
2201150,-8.5057528,-45.16098,0
2201200,-4.1913229,-42.595775,0
2201309,-9.9831352,-45.694006,0
2201705,-7.7379213,-43.906828,0
2201903,-9.2394287,-44.558889,0
2202000,-3.1906166,-41.883934,0
2202174,-3.7921155,-42.596358,0
2202251,-7.5840481,-43.544477,0
2202307,-8.493133,-43.515228,0
2202505,-8.8854725,-43.369984,0
2202653,-3.341523,-41.98985,0
2202752,-8.2000064,-43.620101,0
2202901,-10.391603,-45.139697,0
2203008,-10.741886,-45.113635,0
2203107,-8.7784903,-43.963278,0
2203206,-9.9618109,-44.315224,0
2203230,-8.8224899,-44.673312,0
2203305,-5.3020937,-42.639804,0
2203602,-7.996433,-43.616743,0
2203909,-6.8930276,-43.097728,0
2204402,-9.6218976,-45.40767,0
2204501,-6.8423741,-43.705207,0
2204550,-8.9214864,-43.628356,0
2204659,-2.829287,-41.815964,0
2205102,-7.5424906,-43.351412,0
